"file_name","task_type","category","tier","recipe_name","description","version","imputation_method","imputation_max_iter","imputation_estimator","encoding_method","encoding_smoothing","encoding_handle_unknown","scaling_method","scaling_output_distribution","scaling_n_quantiles","imbalance_method","imbalance_sampling_strategy","imbalance_k_neighbors","outlier_method","outlier_threshold","outlier_strategy","outlier_limits","feature_selection_method","feature_selection_threshold","feature_selection_n_repeats","feature_selection_scoring","variant_id","leakage_risk","estimated_runtime_sec","generation_mode","v1_expected_quality","v1_max_runtime_seconds","v1_level","v1_compatibility_score","performance_tier","expected_runtime_seconds","research_citations"
"variant_58f7e4d9685d.yml","classification","variant_search","","58f7e4d9685d","Pipeline Variant: mean+smotetomek+label+none+variance","1.0","mean","","","label","","","none","","","smotetomek","","","","","","","variance","","","","58f7e4d9685d","medium","30","grid_sample","","","","","","",""
"variant_58fac2620de9.yml","classification","variant_search","","58fac2620de9","Pipeline Variant: mean+label+standard+correlation","1.0","mean","","","label","","","standard","","","none","","","","","","","correlation","0.95","","","58fac2620de9","none","30","grid_sample","","","","","","",""
"variant_5be3a9ea495e.yml","classification","variant_search","","5be3a9ea495e","Pipeline Variant: mean+smotetomek+onehot+robust+none","1.0","mean","","","onehot","","","robust","","","smotetomek","","","","","","","none","","","","5be3a9ea495e","medium","30","grid_sample","","","","","","",""
"variant_5be47ee345fe.yml","classification","variant_search","","5be47ee345fe","Pipeline Variant: mean+label+yeo_johnson+none","1.0","mean","","","label","","","yeo_johnson","","","none","","","","","","","none","","","","5be47ee345fe","none","30","grid_sample","","","","","","",""
"variant_5c727360e2b1.yml","classification","variant_search","","5c727360e2b1","Pipeline Variant: mean+smoteenn+label+quantile+none","1.0","mean","","","label","","","quantile","","","smoteenn","","","","","","","none","","","","5c727360e2b1","medium","30","grid_sample","","","","","","",""
"variant_5d7a70e27c70.yml","classification","variant_search","","5d7a70e27c70","Pipeline Variant: mean+smotetomek+label+standard+correlation","1.0","mean","","","label","","","standard","","","smotetomek","","","","","","","correlation","0.9","","","5d7a70e27c70","medium","30","grid_sample","","","","","","",""
"variant_62186d148267.yml","classification","variant_search","","62186d148267","Pipeline Variant: mean+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","none","","","","","","","correlation","0.9","","","62186d148267","none","30","grid_sample","","","","","","",""
"variant_646b9b18fb2d.yml","classification","variant_search","","646b9b18fb2d","Pipeline Variant: mean+smotetomek+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","smotetomek","","","","","","","correlation","0.85","","","646b9b18fb2d","medium","30","grid_sample","","","","","","",""
"variant_64d4f514c52f.yml","classification","variant_search","","64d4f514c52f","Pipeline Variant: mean+smoteenn+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","smoteenn","","","","","","","correlation","0.85","","","64d4f514c52f","medium","30","grid_sample","","","","","","",""
"variant_65c6f204e045.yml","classification","variant_search","","65c6f204e045","Pipeline Variant: mean+smotetomek+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","smotetomek","","","","","","","correlation","0.9","","","65c6f204e045","medium","30","grid_sample","","","","","","",""
"variant_697418c00737.yml","classification","variant_search","","697418c00737","Pipeline Variant: mean+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","none","","","","","","","correlation","0.95","","","697418c00737","none","30","grid_sample","","","","","","",""
"variant_697b8ed2a7ac.yml","classification","variant_search","","697b8ed2a7ac","Pipeline Variant: mean+smoteenn+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","smoteenn","","","","","","","correlation","0.85","","","697b8ed2a7ac","medium","30","grid_sample","","","","","","",""
"variant_69947e6a127e.yml","classification","variant_search","","69947e6a127e","Pipeline Variant: mean+smoteenn+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","smoteenn","","","","","","","correlation","0.95","","","69947e6a127e","medium","30","grid_sample","","","","","","",""
"variant_69fcd64efe7b.yml","classification","variant_search","","69fcd64efe7b","Pipeline Variant: mean+smoteenn+label+robust+variance","1.0","mean","","","label","","","robust","","","smoteenn","","","","","","","variance","","","","69fcd64efe7b","medium","30","grid_sample","","","","","","",""
"variant_6a14e6a318ae.yml","classification","variant_search","","6a14e6a318ae","Pipeline Variant: mean+smotetomek+label+yeo_johnson+none","1.0","mean","","","label","","","yeo_johnson","","","smotetomek","","","","","","","none","","","","6a14e6a318ae","medium","30","grid_sample","","","","","","",""
"variant_6a1970b11d59.yml","classification","variant_search","","6a1970b11d59","Pipeline Variant: mean+smoteenn+label+none+correlation","1.0","mean","","","label","","","none","","","smoteenn","","","","","","","correlation","0.85","","","6a1970b11d59","medium","30","grid_sample","","","","","","",""
"variant_6ab38017bf9b.yml","classification","variant_search","","6ab38017bf9b","Pipeline Variant: mean+onehot+quantile+variance","1.0","mean","","","onehot","","","quantile","","","none","","","","","","","variance","","","","6ab38017bf9b","none","30","grid_sample","","","","","","",""
"variant_6ae8a7fb5845.yml","classification","variant_search","","6ae8a7fb5845","Pipeline Variant: mean+smoteenn+label+standard+variance","1.0","mean","","","label","","","standard","","","smoteenn","","","","","","","variance","","","","6ae8a7fb5845","medium","30","grid_sample","","","","","","",""
"variant_707c501d510e.yml","classification","variant_search","","707c501d510e","Pipeline Variant: mean+smoteenn+label+robust+correlation","1.0","mean","","","label","","","robust","","","smoteenn","","","","","","","correlation","0.85","","","707c501d510e","medium","30","grid_sample","","","","","","",""
"variant_710dee2add64.yml","classification","variant_search","","710dee2add64","Pipeline Variant: mean+smotetomek+onehot+quantile+variance","1.0","mean","","","onehot","","","quantile","","","smotetomek","","","","","","","variance","","","","710dee2add64","medium","30","grid_sample","","","","","","",""
"variant_74cae910c091.yml","classification","variant_search","","74cae910c091","Pipeline Variant: mean+smotetomek+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","smotetomek","","","","","","","correlation","0.9","","","74cae910c091","medium","30","grid_sample","","","","","","",""
"variant_77cbe0bea9c5.yml","classification","variant_search","","77cbe0bea9c5","Pipeline Variant: mean+smoteenn+onehot+standard+variance","1.0","mean","","","onehot","","","standard","","","smoteenn","","","","","","","variance","","","","77cbe0bea9c5","medium","30","grid_sample","","","","","","",""
"variant_781f786ba015.yml","classification","variant_search","","781f786ba015","Pipeline Variant: mean+label+yeo_johnson+variance","1.0","mean","","","label","","","yeo_johnson","","","none","","","","","","","variance","","","","781f786ba015","none","30","grid_sample","","","","","","",""
"variant_79a1a7aedb7b.yml","classification","variant_search","","79a1a7aedb7b","Pipeline Variant: mean+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","none","","","","","","","correlation","0.9","","","79a1a7aedb7b","none","30","grid_sample","","","","","","",""
"variant_7a367c6716c1.yml","classification","variant_search","","7a367c6716c1","Pipeline Variant: mean+smoteenn+onehot+quantile+none","1.0","mean","","","onehot","","","quantile","","","smoteenn","","","","","","","none","","","","7a367c6716c1","medium","30","grid_sample","","","","","","",""
"variant_7ac8fe19e3d0.yml","classification","variant_search","","7ac8fe19e3d0","Pipeline Variant: mean+smoteenn+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","smoteenn","","","","","","","correlation","0.9","","","7ac8fe19e3d0","medium","30","grid_sample","","","","","","",""
"variant_7ccf03e486e1.yml","classification","variant_search","","7ccf03e486e1","Pipeline Variant: mean+smotetomek+label+robust+correlation","1.0","mean","","","label","","","robust","","","smotetomek","","","","","","","correlation","0.95","","","7ccf03e486e1","medium","30","grid_sample","","","","","","",""
"variant_7d6a472cb5ca.yml","classification","variant_search","","7d6a472cb5ca","Pipeline Variant: mean+smoteenn+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","smoteenn","","","","","","","correlation","0.9","","","7d6a472cb5ca","medium","30","grid_sample","","","","","","",""
"variant_7d76cff6139d.yml","classification","variant_search","","7d76cff6139d","Pipeline Variant: mean+smotetomek+label+robust+variance","1.0","mean","","","label","","","robust","","","smotetomek","","","","","","","variance","","","","7d76cff6139d","medium","30","grid_sample","","","","","","",""
"variant_7dc960ac8869.yml","classification","variant_search","","7dc960ac8869","Pipeline Variant: mean+smotetomek+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","smotetomek","","","","","","","correlation","0.95","","","7dc960ac8869","medium","30","grid_sample","","","","","","",""
"variant_7e1144695fcf.yml","classification","variant_search","","7e1144695fcf","Pipeline Variant: mean+label+yeo_johnson+correlation","1.0","mean","","","label","","","yeo_johnson","","","none","","","","","","","correlation","0.95","","","7e1144695fcf","none","30","grid_sample","","","","","","",""
"variant_8116fa52360f.yml","classification","variant_search","","8116fa52360f","Pipeline Variant: mean+smoteenn+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","smoteenn","","","","","","","correlation","0.9","","","8116fa52360f","medium","30","grid_sample","","","","","","",""
"variant_81ae05a1fab6.yml","classification","variant_search","","81ae05a1fab6","Pipeline Variant: mean+smoteenn+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","smoteenn","","","","","","","correlation","0.95","","","81ae05a1fab6","medium","30","grid_sample","","","","","","",""
"variant_8237c59f1739.yml","classification","variant_search","","8237c59f1739","Pipeline Variant: mean+smoteenn+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","smoteenn","","","","","","","correlation","0.85","","","8237c59f1739","medium","30","grid_sample","","","","","","",""
"variant_8425edaf5325.yml","classification","variant_search","","8425edaf5325","Pipeline Variant: mean+smotetomek+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","smotetomek","","","","","","","correlation","0.85","","","8425edaf5325","medium","30","grid_sample","","","","","","",""
"variant_851c6e858d1b.yml","classification","variant_search","","851c6e858d1b","Pipeline Variant: mean+smoteenn+onehot+minmax+none","1.0","mean","","","onehot","","","minmax","","","smoteenn","","","","","","","none","","","","851c6e858d1b","medium","30","grid_sample","","","","","","",""
"variant_8611827ddab6.yml","classification","variant_search","","8611827ddab6","Pipeline Variant: mean+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","none","","","","","","","correlation","0.85","","","8611827ddab6","none","30","grid_sample","","","","","","",""
"variant_8665517dd2d3.yml","classification","variant_search","","8665517dd2d3","Pipeline Variant: mean+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","none","","","","","","","correlation","0.9","","","8665517dd2d3","none","30","grid_sample","","","","","","",""
"variant_872cdd6d4ad8.yml","classification","variant_search","","872cdd6d4ad8","Pipeline Variant: mean+smotetomek+onehot+minmax+correlation","1.0","mean","","","onehot","","","minmax","","","smotetomek","","","","","","","correlation","0.85","","","872cdd6d4ad8","medium","30","grid_sample","","","","","","",""
"variant_88280746a218.yml","classification","variant_search","","88280746a218","Pipeline Variant: mean+smoteenn+onehot+quantile+variance","1.0","mean","","","onehot","","","quantile","","","smoteenn","","","","","","","variance","","","","88280746a218","medium","30","grid_sample","","","","","","",""
"variant_88ba345ed6ad.yml","classification","variant_search","","88ba345ed6ad","Pipeline Variant: mean+smoteenn+label+none+variance","1.0","mean","","","label","","","none","","","smoteenn","","","","","","","variance","","","","88ba345ed6ad","medium","30","grid_sample","","","","","","",""
"variant_8a183804f50e.yml","classification","variant_search","","8a183804f50e","Pipeline Variant: mean+smotetomek+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","smotetomek","","","","","","","correlation","0.9","","","8a183804f50e","medium","30","grid_sample","","","","","","",""
"variant_8a23d205a4b3.yml","classification","variant_search","","8a23d205a4b3","Pipeline Variant: mean+smoteenn+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","smoteenn","","","","","","","correlation","0.9","","","8a23d205a4b3","medium","30","grid_sample","","","","","","",""
"variant_8e6e929aad56.yml","classification","variant_search","","8e6e929aad56","Pipeline Variant: mean+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","none","","","","","","","correlation","0.9","","","8e6e929aad56","none","30","grid_sample","","","","","","",""
"variant_8eaa2aba988b.yml","classification","variant_search","","8eaa2aba988b","Pipeline Variant: mean+smoteenn+onehot+robust+correlation","1.0","mean","","","onehot","","","robust","","","smoteenn","","","","","","","correlation","0.95","","","8eaa2aba988b","medium","30","grid_sample","","","","","","",""
"variant_8eea98d73f0c.yml","classification","variant_search","","8eea98d73f0c","Pipeline Variant: mean+onehot+quantile+none","1.0","mean","","","onehot","","","quantile","","","none","","","","","","","none","","","","8eea98d73f0c","none","30","grid_sample","","","","","","",""
"variant_8f355fb0767c.yml","classification","variant_search","","8f355fb0767c","Pipeline Variant: mean+smoteenn+onehot+quantile+correlation","1.0","mean","","","onehot","","","quantile","","","smoteenn","","","","","","","correlation","0.9","","","8f355fb0767c","medium","30","grid_sample","","","","","","",""
"variant_909f133a32cf.yml","classification","variant_search","","909f133a32cf","Pipeline Variant: mean+smotetomek+onehot+yeo_johnson+correlation","1.0","mean","","","onehot","","","yeo_johnson","","","smotetomek","","","","","","","correlation","0.85","","","909f133a32cf","medium","30","grid_sample","","","","","","",""
"variant_90ed7ea7f923.yml","classification","variant_search","","90ed7ea7f923","Pipeline Variant: mean+smoteenn+label+none+correlation","1.0","mean","","","label","","","none","","","smoteenn","","","","","","","correlation","0.95","","","90ed7ea7f923","medium","30","grid_sample","","","","","","",""
"variant_932852f655c5.yml","classification","variant_search","","932852f655c5","Pipeline Variant: mean+smotetomek+label+yeo_johnson+variance","1.0","mean","","","label","","","yeo_johnson","","","smotetomek","","","","","","","variance","","","","932852f655c5","medium","30","grid_sample","","","","","","",""
"variant_95b38286ee2d.yml","classification","variant_search","","95b38286ee2d","Pipeline Variant: mean+onehot+standard+correlation","1.0","mean","","","onehot","","","standard","","","none","","","","","","","correlation","0.95","","","95b38286ee2d","none","30","grid_sample","","","","","","",""
"variant_9677fdb99df9.yml","classification","variant_search","","9677fdb99df9","Pipeline Variant: mean+smotetomek+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","smotetomek","","","","","","","correlation","0.95","","","9677fdb99df9","medium","30","grid_sample","","","","","","",""
"variant_9a30be093d58.yml","classification","variant_search","","9a30be093d58","Pipeline Variant: mean+smotetomek+label+robust+none","1.0","mean","","","label","","","robust","","","smotetomek","","","","","","","none","","","","9a30be093d58","medium","30","grid_sample","","","","","","",""
"variant_9bfc5cfc7f6c.yml","classification","variant_search","","9bfc5cfc7f6c","Pipeline Variant: mean+smotetomek+label+minmax+correlation","1.0","mean","","","label","","","minmax","","","smotetomek","","","","","","","correlation","0.9","","","9bfc5cfc7f6c","medium","30","grid_sample","","","","","","",""
"variant_9c7c5e12df02.yml","classification","variant_search","","9c7c5e12df02","Pipeline Variant: mean+smotetomek+onehot+none+correlation","1.0","mean","","","onehot","","","none","","","smotetomek","","","","","","","correlation","0.95","","","9c7c5e12df02","medium","30","grid_sample","","","","","","",""
"variant_9cd727cb9ad2.yml","classification","variant_search","","9cd727cb9ad2","Pipeline Variant: mean+smotetomek+label+quantile+correlation","1.0","mean","","","label","","","quantile","","","smotetomek","","","","","","","correlation","0.95","","","9cd727cb9ad2","medium","30","grid_sample","","","","","","",""
"variant_9d56ad40912a.yml","classification","variant_search","","9d56ad40912a","Pipeline Variant: mean+smoteenn+label+standard+correlation","1.0","mean","","","label","","","standard","","","smoteenn","","","","","","","correlation","0.9","","","9d56ad40912a","medium","30","grid_sample","","","","","","",""
